http://ted.europa.eu/udl?uri=TED:NOTICE:488952-2017:TEXT:PL:HTML&src=0 	  488952-2017 	  Norwegia-Oslo: System pozyskiwania danych 	  NO 	  07/12/2017 	6816000	 NOK 	 bez Vat 	  Wartosc bez VAT: 6 816 000.00 NOK
http://ted.europa.eu/udl?uri=TED:NOTICE:488948-2017:TEXT:PL:HTML&src=0 	  488948-2017 	  Norwegia-Oslo: Us³ugi bazy danych 	  NO 	  07/12/2017 	1	 NOK 	 bez Vat 	  Wartosc bez VAT: 1.00 NOK
http://ted.europa.eu/udl?uri=TED:NOTICE:488932-2017:TEXT:PL:HTML&src=0 	  488932-2017 	  Norwegia-Stavanger: Pakiety oprogramowania i systemy informatyczne 	  NO 	  07/12/2017 	4979500	 NOK 	 z Vat 	  Najtansza oferta: 4 979 500.00 NOK / Najdrozsza oferta: 5 295 700.00 NOK brana pod uwage
http://ted.europa.eu/udl?uri=TED:NOTICE:488691-2017:TEXT:PL:HTML&src=0 	  488691-2017 	  Francja-Lyon: Profesjonalne us³ugi komputerowe 	  FR 	  07/12/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:488409-2017:TEXT:PL:HTML&src=0 	  488409-2017 	  Francja-Metz: Us³ugi w zakresie konserwacji i wsparcia systemów 	  FR 	  07/12/2017 	179015	 EUR 	 bez Vat 	  Wartosc bez VAT: 179 015.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:488348-2017:TEXT:PL:HTML&src=0 	  488348-2017 	  Francja-Lyon: Pakiety oprogramowania i systemy informatyczne 	  FR 	  07/12/2017 	200000	 EUR 	 bez Vat 	  Wartosc bez VAT: 200 000.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:488332-2017:TEXT:PL:HTML&src=0 	  488332-2017 	  Francja-Paris-la-Défense: Pakiety oprogramowania do rozliczania czasu lub zarz¹dzania zasobami ludzkimi 	  FR 	  07/12/2017 	147360	 EUR 	 bez Vat 	  Wartosc bez VAT: 147 360.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:488314-2017:TEXT:PL:HTML&src=0 	  488314-2017 	  S³owacja-Bratys³awa: Studia wykonalnoœci, us³ugi doradcze, analizy 	  SK 	  07/12/2017 	4132850	 EUR 	 bez Vat 	  Wartosc bez VAT: 4 132 850.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:487811-2017:TEXT:PL:HTML&src=0 	  487811-2017 	  Portugalia-Vila Franca de Xira: Pakiety oprogramowania dla baz danych 	  PT 	  07/12/2017 	197800,18	 EUR 	 bez Vat 	  Wartosc bez VAT: 197 800.18 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:487310-2017:TEXT:PL:HTML&src=0 	  487310-2017 	  Norwegia-BOD?: Pakiety oprogramowania statystycznego 	  NO 	  06/12/2017 	4873830	 NOK 	 bez Vat 	  Wartosc bez VAT: 4 873 830.00 NOK
http://ted.europa.eu/udl?uri=TED:NOTICE:487111-2017:TEXT:PL:HTML&src=0 	  487111-2017 	  Niemcy-Brunszwik: Systemy informacji medycznej 	  DE 	  06/12/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
